damID,catID,capacityML,surfarea_m2,catcharea_km2,demandfactor
dam012731,C3,0.25074,362.45,0.0003237,0.5
dam012732,C3,0.21830,326.37,0.0532820,0.5
dam012733,C3,0.41690,532.55,0.0027703,0.5
dam012734,C3,0.70717,794.43,0.0188095,0.5
dam012735,C3,1.46919,1381.62,0.0074613,0.5
dam012736,C3,0.11366,199.15,0.0288091,0.5
dam012737,C3,0.24963,361.24,0.0026545,0.5
dam012738,C3,0.03419,80.23,0.0002855,0.5
dam012739,C3,0.19850,303.71,0.0058446,0.5
dam012740,C3,1.30476,1262.92,0.6434927,0.5
dam012741,C3,1.32231,1275.76,0.0005178,0.5
dam012742,C3,1.53715,1429.72,0.0297299,0.5
dam012743,C3,0.08149,154.83,0.0007005,0.5
dam012744,C3,0.59585,697.84,0.0012407,0.5
dam012745,C3,0.62934,727.32,0.0235170,0.5
dam012746,C3,0.19223,296.43,0.0014992,0.5
dam012747,C3,0.22946,338.92,0.0064296,0.5
dam012748,C3,0.01303,38.66,0.0037032,0.5
dam012749,C3,0.09235,170.20,0.0091384,0.5
dam012750,C3,0.16291,261.52,0.0033267,0.5
dam012751,C3,5.62029,3813.98,0.0951341,0.5
dam012752,C3,0.52695,635.86,0.0236588,0.5
dam012753,C3,0.04542,99.48,0.0002765,0.5
dam012754,C3,0.02990,72.48,0.0173022,0.5
dam012755,C3,6.55907,4286.96,0.1517982,0.5
dam012756,C3,0.14878,244.17,0.0758385,0.5
dam012757,C3,0.03886,88.40,0.0259447,0.5
dam012758,C3,0.03797,86.86,0.0002974,0.5
dam012759,C3,0.02312,59.67,0.0049047,0.5
dam012760,C3,0.10207,183.59,0.0232544,0.5
dam012761,C3,17.45404,8991.72,0.3410629,0.5
dam012762,C3,0.06067,123.84,0.0003068,0.5
dam012763,C3,0.01068,33.26,0.0007511,0.5
dam012764,C3,0.30918,424.73,0.0136305,0.5
dam012765,C3,0.75130,831.67,0.0532967,0.5
dam012766,C3,0.58247,685.95,0.0033620,0.5
dam012767,C3,0.13884,231.72,0.0905237,0.5
dam012768,C3,0.91273,963.66,0.0502787,0.5
dam012769,C3,0.13487,226.69,0.0076509,0.5
dam012770,C3,0.23374,343.69,0.0117178,0.5
dam012771,C3,0.22206,330.62,0.0258865,0.5
dam012772,C3,0.23895,349.48,0.0004297,0.5
dam012773,C3,0.10643,189.49,0.0015412,0.5
dam012774,C3,0.16579,265.02,0.0009761,0.5
dam012775,C3,0.49930,610.45,0.0017330,0.5
dam012776,C3,3.32684,2564.65,0.0071424,0.5
dam012777,C3,0.13516,227.06,0.0014985,0.5
dam012778,C3,0.14023,233.47,0.0001361,0.5
dam012779,C3,0.10053,181.48,0.0061528,0.5
dam012780,C3,0.04611,100.61,0.0970354,0.5
dam012781,C3,0.13546,227.44,0.0009265,0.5
dam012782,C3,0.06973,137.60,0.0002758,0.5
dam012783,C3,1.77778,1596.07,0.0164902,0.5
dam012784,C3,0.23576,345.95,0.0188215,0.5
dam012785,C3,0.07154,140.29,0.0218368,0.5
dam012786,C3,1.23836,1213.97,0.0518941,0.5
dam012787,C3,0.35703,473.60,0.0000571,0.5
dam012788,C3,0.46404,577.54,0.0083485,0.5
dam012789,C3,1.23832,1213.94,0.0911985,0.5
dam012790,C3,0.03123,74.92,0.0020969,0.5
dam012791,C3,1.40482,1335.56,0.0159175,0.5
dam012792,C3,0.24997,361.61,0.0013068,0.5
dam012793,C3,0.03128,75.01,0.0010354,0.5
dam012794,C3,0.16974,269.78,0.0321917,0.5
dam012795,C3,0.04295,95.34,0.0049929,0.5
dam012796,C3,0.04004,90.43,0.0010865,0.5
dam012797,C3,0.62552,723.98,0.0076722,0.5
dam012798,C3,0.81268,882.60,0.0004179,0.5
dam012799,C3,0.16015,258.16,0.0618236,0.5
dam012800,C3,0.70031,788.59,0.1885347,0.5
dam012801,C3,0.82180,890.08,0.0126924,0.5
dam012802,C3,0.33901,455.40,0.0001627,0.5
dam012803,C3,0.02110,55.68,0.0293263,0.5
dam012804,C3,1.10492,1113.61,0.0025695,0.5
dam012805,C3,1.21631,1197.57,0.0172682,0.5
dam012806,C3,72.80148,26501.01,0.0773618,0.5
dam012807,C3,8.72669,5321.10,0.2143814,0.5
dam012808,C3,0.53241,640.84,0.0001131,0.5
dam012809,C3,0.72372,808.46,0.3662041,0.5
dam012810,C3,0.14652,241.36,0.0001359,0.5
dam012811,C3,1.52050,1417.98,0.0072176,0.5
dam012812,C3,0.08264,156.47,0.0001541,0.5
dam012813,C3,0.47740,590.08,0.0000336,0.5
dam012814,C3,0.97079,1009.71,0.0021243,0.5
dam012815,C3,0.02153,56.54,0.0044388,0.5
dam012816,C3,4.45519,3199.04,0.0169977,0.5
dam012817,C3,0.04890,105.19,0.0129776,0.5
dam012818,C3,0.48637,598.45,0.0093522,0.5
dam012819,C3,0.18862,292.20,0.0663434,0.5
dam012820,C3,0.11932,206.62,0.0187489,0.5
dam012821,C3,0.82123,889.62,0.0025296,0.5
dam012822,C3,0.32655,442.67,0.0022362,0.5
dam012823,C3,0.41168,527.50,0.0001440,0.5
dam012824,C3,0.32554,441.64,0.0006915,0.5
dam012825,C3,4.06357,2983.86,0.0473094,0.5
dam012826,C3,0.01051,32.86,0.0005527,0.5
dam012827,C3,0.01326,39.17,0.0070325,0.5
dam012828,C3,0.16239,260.89,0.0068923,0.5
dam012829,C3,0.13490,226.73,0.0004786,0.5
dam012830,C3,0.09435,172.98,0.0047638,0.5
dam012831,C3,0.01634,45.88,0.0001448,0.5
dam012832,C3,0.06378,128.61,0.0012457,0.5
dam012833,C3,0.02644,66.04,0.0006429,0.5
dam012834,C3,0.06979,137.69,0.0000501,0.5
dam012835,C3,0.27723,391.08,0.0231792,0.5
dam012836,C3,0.21083,317.89,0.0671788,0.5
dam012837,C3,0.00203,9.47,0.0089178,0.5
dam012838,C3,1.75578,1581.10,0.0023187,0.5
dam012839,C3,0.28448,398.79,0.0029889,0.5
dam012840,C3,0.35161,468.15,0.0004945,0.5
dam012841,C3,0.10514,187.76,0.0000735,0.5
dam012842,C3,0.23097,340.61,0.1167631,0.5
dam012843,C3,0.19940,304.75,0.0011690,0.5
dam012844,C3,0.69104,780.67,0.0006326,0.5
dam012845,C3,0.69216,781.63,0.1068768,0.5
dam012846,C3,0.02889,70.62,0.0492605,0.5
dam012847,C3,0.05527,115.40,0.0001687,0.5
dam012848,C3,7.96119,4963.93,0.0388484,0.5
dam012849,C3,0.87345,932.11,0.0667467,0.5
dam012850,C3,0.43071,545.86,0.0055817,0.5
dam012851,C3,1.23975,1215.00,0.0239685,0.5
dam012852,C3,0.11268,197.86,0.0002759,0.5
dam012853,C3,0.29648,411.46,0.0039995,0.5
dam012854,C3,0.51581,625.66,0.0009095,0.5
dam012855,C3,0.00886,28.87,0.0009672,0.5
dam012856,C3,1.27810,1243.34,0.0415065,0.5
dam012857,C3,0.26586,378.88,0.0013922,0.5
dam012858,C3,0.19081,294.77,0.0006810,0.5
dam012859,C3,0.06623,132.34,0.0017827,0.5
dam012860,C3,0.85373,916.13,0.0451666,0.5
dam012861,C3,0.43252,547.59,0.0288899,0.5
dam012862,C3,0.00831,27.51,0.0143680,0.5
dam012863,C3,0.23766,348.05,0.0028448,0.5
dam012864,C3,0.29414,409.00,0.0151649,0.5
dam012865,C3,0.14434,238.64,0.0003712,0.5
dam012866,C3,3.05090,2401.97,0.0122498,0.5
dam012867,C3,0.00208,9.65,0.0154074,0.5
dam012868,C3,0.40773,523.67,0.0031067,0.5
dam012869,C3,3.31253,2556.30,0.0141300,0.5
dam012870,C3,0.45100,565.21,0.0006276,0.5
dam012871,C3,0.19418,298.69,0.0015962,0.5
dam012872,C3,0.36665,483.22,0.0237100,0.5
dam012873,C3,0.46293,576.48,0.0099281,0.5
dam012874,C3,0.02480,62.92,0.0009232,0.5
dam012875,C3,5.38168,3690.79,0.0218073,0.5
dam012876,C3,0.01135,34.83,0.0087445,0.5
dam012877,C3,7.69112,4835.95,0.1100214,0.5
dam012878,C3,0.04165,93.16,0.0016788,0.5
dam012879,C3,0.02207,57.61,0.0077598,0.5
dam012880,C3,18.83511,9525.17,0.0425301,0.5
dam012881,C3,0.15925,257.06,0.0007508,0.5
dam012882,C3,2.91888,2322.89,0.0117488,0.5
dam012883,C3,1.61637,1485.14,0.0192930,0.5
dam012884,C3,1.67371,1524.85,0.0101160,0.5
dam012885,C3,0.08734,163.16,0.0014675,0.5
dam012886,C3,0.09194,169.63,0.0103734,0.5
dam012887,C3,0.16362,262.38,0.0094085,0.5
dam012888,C3,1.16940,1162.45,0.0713562,0.5
dam012889,C3,0.01268,37.88,0.0089665,0.5
dam012890,C3,13.76934,7514.54,0.1089973,0.5
dam012891,C3,0.19340,297.79,0.0003027,0.5
dam012892,C3,0.51703,626.78,0.0047990,0.5
dam012893,C3,6.82948,4420.06,0.0010735,0.5
dam012894,C3,0.96449,1004.74,0.5441322,0.5
dam012895,C3,1.54487,1435.15,0.0274569,0.5
dam012896,C3,0.92890,976.55,0.1797687,0.5
dam012897,C3,1.00384,1035.62,0.0117061,0.5
dam012898,C3,0.15170,247.80,0.0299277,0.5
dam012899,C3,0.25775,370.10,0.0292396,0.5
dam012900,C3,0.03831,87.44,0.0002508,0.5
dam012901,C3,0.58690,689.89,0.0280179,0.5
dam012902,C3,0.21078,317.83,0.0032435,0.5
dam012903,C3,0.21775,325.75,0.0061055,0.5
dam012904,C3,0.03460,80.96,0.0004836,0.5
dam012905,C3,0.20985,316.76,0.0001214,0.5
dam012906,C3,5.19529,3593.63,0.4898090,0.5
dam012907,C3,0.74317,824.85,0.0112888,0.5
dam012908,C3,0.78310,858.17,0.0004061,0.5
dam012909,C3,0.53289,641.28,0.0264329,0.5
dam012910,C3,0.18923,292.91,0.0373703,0.5
dam012911,C3,2.22235,1889.80,0.0992789,0.5
dam012912,C3,0.07506,145.48,0.0001271,0.5
dam012913,C3,0.30519,420.57,0.0014211,0.5
dam012914,C3,0.04625,100.84,0.0001925,0.5
dam012915,C3,22.17703,10778.51,0.0488985,0.5
dam012916,C3,0.14731,242.34,0.0001395,0.5
dam012917,C3,4.82991,3400.67,0.0874131,0.5
dam012918,C3,0.08751,163.40,0.0025479,0.5
dam012919,C3,13.91860,7576.11,0.1552418,0.5
dam012920,C3,1.72510,1560.15,0.0000369,0.5
dam012921,C3,0.18531,288.31,0.0179906,0.5
dam012922,C3,0.79139,865.04,0.0043335,0.5
dam012923,C3,0.20906,315.87,0.0049642,0.5
dam012924,C3,0.48382,596.07,0.0004160,0.5
dam012925,C3,2.13138,1830.96,1.8297731,0.5
dam012926,C3,0.47900,591.57,0.0070336,0.5
dam012927,C3,1.78142,1598.55,0.0641363,0.5
dam012928,C3,0.05810,119.85,0.0004688,0.5
dam012929,C3,0.13093,221.65,0.0013181,0.5
dam012930,C3,0.36822,484.79,0.0134715,0.5
dam012931,C3,0.01199,36.31,0.0254994,0.5
dam012932,C3,0.04932,105.87,0.0052458,0.5
dam012933,C3,0.70541,792.93,0.0292969,0.5
dam012934,C3,0.02714,67.37,0.0011742,0.5
dam012935,C3,0.11385,199.40,0.0003929,0.5
dam012936,C3,0.54627,653.43,0.0510439,0.5
dam012937,C3,0.00477,18.06,0.0007049,0.5
dam012938,C3,0.77124,848.32,0.0050970,0.5
dam012939,C3,1.10394,1112.86,0.0138095,0.5
dam012940,C3,1.12162,1126.33,0.0596689,0.5
dam012941,C3,0.27426,387.91,0.0001418,0.5
dam012942,C3,0.09748,177.30,0.0090207,0.5
dam012943,C3,1.08676,1099.73,0.0014461,0.5
dam012944,C3,0.42214,537.61,0.0116081,0.5
dam012945,C3,0.38076,497.23,0.0015152,0.5
dam012946,C3,0.26757,380.72,0.0016393,0.5
dam012947,C3,0.25898,371.43,0.0204184,0.5
dam012948,C3,0.32295,438.97,0.0597868,0.5
dam012949,C3,0.18027,282.35,0.0005369,0.5
dam012950,C3,0.21197,319.19,0.0027530,0.5
dam012951,C3,2.47898,2052.75,0.1623816,0.5
dam012952,C3,0.41384,529.59,0.0011486,0.5
dam012953,C3,0.37082,487.38,0.0009848,0.5
dam012954,C3,0.67835,769.79,0.0002490,0.5
dam012955,C3,0.00646,22.72,0.0008275,0.5
dam012956,C3,0.47115,584.22,0.0059125,0.5
dam012957,C3,0.02684,66.80,0.0024342,0.5
dam012958,C3,0.03116,74.78,0.0010634,0.5
dam012959,C3,0.13681,229.16,0.1779482,0.5
dam012960,C3,1.94406,1707.82,0.0667550,0.5
dam012961,C3,0.24611,357.37,0.0001512,0.5
dam012962,C3,1.78086,1598.17,0.0008283,0.5
dam012963,C3,0.56026,666.06,0.0072979,0.5
dam012964,C3,0.20647,312.89,0.0016497,0.5
dam012965,C3,0.06312,127.60,0.0000134,0.5
dam012966,C3,0.07799,149.76,0.0022792,0.5
dam012967,C3,0.83429,900.31,0.6677245,0.5
dam012968,C3,0.44848,562.81,0.0767920,0.5
dam012969,C3,0.10988,194.13,0.0009069,0.5
dam012970,C3,1.67804,1527.83,0.7406236,0.5
dam012971,C3,0.37487,491.40,0.0166613,0.5
dam012972,C3,0.76257,841.10,0.0001437,0.5
dam012973,C3,0.11779,204.61,0.0026777,0.5
dam012974,C3,0.30455,419.91,0.0005918,0.5
dam012975,C3,4.97221,3476.22,0.0905719,0.5
dam012976,C3,0.50116,612.17,0.0045201,0.5
dam012977,C3,2.19165,1870.01,0.0892098,0.5
dam012978,C3,4.88360,3429.24,0.0007141,0.5
dam012979,C3,0.00575,20.80,0.0008064,0.5
dam012980,C3,1.01423,1043.72,0.2947582,0.5
dam012981,C3,0.16025,258.29,0.0015273,0.5
dam012982,C3,0.14310,237.08,0.0024551,0.5
dam012983,C3,0.21191,319.12,0.0102493,0.5
dam012984,C3,0.25850,370.92,0.0009642,0.5
dam012985,C3,0.10263,184.35,0.0126450,0.5
dam012986,C3,0.87979,937.22,0.0430997,0.5
dam012987,C3,0.85258,915.20,0.0008215,0.5
dam012988,C3,0.13884,231.72,0.0086335,0.5
dam012989,C3,2.38146,1991.34,0.0031501,0.5
dam012990,C3,0.13448,226.20,0.0079774,0.5
dam012991,C3,0.04795,103.63,0.0009739,0.5
dam012992,C3,0.88144,938.55,0.0005174,0.5
dam012993,C3,0.93705,983.03,0.2823857,0.5
dam012994,C3,0.19350,297.90,0.0020989,0.5
dam012995,C3,0.03831,87.44,0.0142486,0.5
dam012996,C3,0.05032,107.49,0.0104167,0.5
dam012997,C3,1.23679,1212.80,0.0787845,0.5
dam012998,C3,1.30070,1259.94,0.0072173,0.5
dam012999,C3,0.25384,365.84,0.0024481,0.5
dam013000,C3,0.12923,219.47,0.0047894,0.5
dam013001,C3,9.88681,5848.26,0.1878235,0.5
